Size,Density,Number,IterativeGreedy_Value,IterativeGreedy_Time
1000,0.6,23,10,9967188270
1000,0.6,24,10,9968514150
1000,0.6,25,10,9983068353
1000,0.6,26,9,9975083987
1000,0.6,27,10,9964334641
1000,0.6,28,9,9996522506
1000,0.6,29,9,9983293489
1000,0.6,30,10,9999430668
1000,0.7,1,8,9993944929
1000,0.7,2,8,9984837596
1000,0.7,3,8,9988971615
1000,0.7,4,8,9978300373
1000,0.7,5,8,9982547422
1000,0.7,6,8,9980890438
1000,0.7,7,8,9996521043
1000,0.7,8,8,9974837942
1000,0.7,9,7,9951428288
1000,0.7,10,8,9961820304
1000,0.7,11,8,9915466544
1000,0.7,12,9,9981252956
1000,0.7,13,7,9990569693
1000,0.7,14,8,9998842255
1000,0.7,15,8,9997212490
1000,0.7,16,8,9990689573
1000,0.7,17,8,9992971575
1000,0.7,18,8,9967342217
1000,0.7,19,8,9998754109
1000,0.7,20,8,9954616189
1000,0.7,21,8,9992669413
1000,0.7,22,8,9996395539
1000,0.7,23,8,9969787809
1000,0.7,24,8,9984009902
1000,0.7,25,8,9984061481
1000,0.7,26,8,9950726074
1000,0.7,27,8,9935948093
1000,0.7,28,8,9988687757
1000,0.7,29,8,9973555347
1000,0.7,30,8,9997582290
1000,0.8,1,7,9968479168
1000,0.8,2,7,9995964679
1000,0.8,3,6,9969397544
1000,0.8,4,6,9997070534
1000,0.8,5,7,9883222044
1000,0.8,6,6,9998538262
1000,0.8,7,6,9965048643
1000,0.8,8,6,9996468923
1000,0.8,9,6,9963556094
1000,0.8,10,7,9985889768
1000,0.8,11,6,9985710846
1000,0.8,12,7,9990050578
1000,0.8,13,6,9963730900
1000,0.8,14,6,9986492660
1000,0.8,15,7,9995017679
1000,0.8,16,6,9912669293
1000,0.8,17,6,9951727125
1000,0.8,18,7,9991290123
1000,0.8,19,7,9979903612
1000,0.8,20,6,9909829644
1000,0.8,21,7,9991486060
1000,0.8,22,7,9951836124
1000,0.8,23,6,9999068873
1000,0.8,24,6,9923989640
1000,0.8,25,6,9957530037
1000,0.8,26,6,9922749361
1000,0.8,27,6,9969416296
1000,0.8,28,7,9954155797
1000,0.8,29,6,9971013810
1000,0.8,30,6,9968140493
1000,0.9,1,5,9956582632
1000,0.9,2,5,9985870309
1000,0.9,3,5,9997017855
1000,0.9,4,5,9988486515
1000,0.9,5,5,9988767796
1000,0.9,6,5,9970107312
1000,0.9,7,5,9930047455
1000,0.9,8,5,9988827826
1000,0.9,9,5,9991405204
1000,0.9,10,5,9974970247
1000,0.9,11,5,9970501308
1000,0.9,12,5,9956092115
1000,0.9,13,5,9933118110
1000,0.9,14,5,9994573828
1000,0.9,15,5,9996481395
1000,0.9,16,5,9952377996
1000,0.9,17,5,9950473071
1000,0.9,18,5,9998621558
1000,0.9,19,5,9990484735
1000,0.9,20,5,9974794583
1000,0.9,21,6,9960925702
1000,0.9,22,5,9971783298
1000,0.9,23,5,9983559606
1000,0.9,24,5,9916958529
1000,0.9,25,5,9986451724
1000,0.9,26,5,9965816652
1000,0.9,27,5,9973281999
1000,0.9,28,5,9990226753
1000,0.9,29,6,9956155138
1000,0.9,30,5,9996988930
2000,0.1,1,58,9955395466
2000,0.1,2,58,9993230672
2000,0.1,3,58,9999421087
2000,0.1,4,61,9908585890
2000,0.1,5,59,9976320462
2000,0.1,6,57,9950746870
2000,0.1,7,56,9957417612
2000,0.1,8,57,9972720762
2000,0.1,9,58,9971808553
2000,0.1,10,57,9948124217
2000,0.1,11,57,9998530880
2000,0.1,12,59,9926297235
2000,0.1,13,57,9967196764
2000,0.1,14,57,9996779476
2000,0.1,15,57,9958574962
2000,0.1,16,59,9962809614
2000,0.1,17,62,9945298676
2000,0.1,18,58,9893659993
2000,0.1,19,58,9989083435
2000,0.1,20,58,9975057546
2000,0.1,21,59,9958799337
2000,0.1,22,58,9982350257
2000,0.1,23,57,9949266666
2000,0.1,24,58,9972539655
2000,0.1,25,56,9943863848
2000,0.1,26,57,9990060484
2000,0.1,27,58,9995882227
2000,0.1,28,57,9983849154
2000,0.1,29,60,9950516297
2000,0.1,30,58,9956838445
2000,0.2,1,32,9919690876
2000,0.2,2,33,9895114750
2000,0.2,3,30,9907409363
2000,0.2,4,31,9898928807
2000,0.2,5,32,9972250704
2000,0.2,6,31,9991570928
2000,0.2,7,30,9958748515
2000,0.2,8,30,9964151971
2000,0.2,9,31,9927050477
2000,0.2,10,31,9992803709
2000,0.2,11,33,9864883283
2000,0.2,12,32,9942740886
2000,0.2,13,32,9965869664
2000,0.2,14,35,9876032580
2000,0.2,15,30,9994316049
2000,0.2,16,31,9998602857
2000,0.2,17,30,9957280108
2000,0.2,18,31,9912341278
2000,0.2,19,31,9947604555
2000,0.2,20,31,9999048119
2000,0.2,21,30,9964059152
2000,0.2,22,32,9998784840
2000,0.2,23,30,9931552038
2000,0.2,24,31,9921125528
2000,0.2,25,31,9978558413
2000,0.2,26,31,9951884967
2000,0.2,27,32,9942920029
2000,0.2,28,32,9976347735
2000,0.2,29,31,9959396239
2000,0.2,30,31,9979255422
2000,0.3,1,21,9933966785
2000,0.3,2,22,9988238652
2000,0.3,3,22,9997257417
2000,0.3,4,21,9943229258
2000,0.3,5,23,9951758072
2000,0.3,6,21,9949057572
2000,0.3,7,22,9922310328
2000,0.3,8,22,9930447250
2000,0.3,9,22,9923266795
2000,0.3,10,21,9894169390
2000,0.3,11,21,9971195954
2000,0.3,12,22,9961159388
2000,0.3,13,21,9957940699
2000,0.3,14,22,9942035898
2000,0.3,15,22,9920417113
2000,0.3,16,22,9856473886
2000,0.3,17,21,9996328702
2000,0.3,18,21,9926252322
2000,0.3,19,21,9986653597
2000,0.3,20,22,9970518041
2000,0.3,21,20,9880751591
2000,0.3,22,21,9833004689
2000,0.3,23,23,9894147793
2000,0.3,24,20,9866468901
2000,0.3,25,21,9949955913
2000,0.3,26,21,9902358465
2000,0.3,27,21,9915580225
2000,0.3,28,21,9910231766
2000,0.3,29,21,9992748141
2000,0.3,30,23,9862650337
2000,0.4,1,15,9909035611
2000,0.4,2,16,9992206435
2000,0.4,3,17,9959466931
2000,0.4,4,15,9957964559
2000,0.4,5,16,9855634489
2000,0.4,6,16,9965432969
2000,0.4,7,16,9953553118
2000,0.4,8,15,9949294061
2000,0.4,9,16,9999001398
2000,0.4,10,15,9998970485
2000,0.4,11,17,9955213496
2000,0.4,12,17,9928683483
2000,0.4,13,16,9950315358
2000,0.4,14,15,9896927443
2000,0.4,15,15,9993895086
2000,0.4,16,16,9894847442
2000,0.4,17,16,9939308646
2000,0.4,18,17,9962793180
2000,0.4,19,16,9995385344
2000,0.4,20,15,9966354693
2000,0.4,21,15,9965401241
2000,0.4,22,16,9965081966
2000,0.4,23,16,9973927889
2000,0.4,24,15,9941030925
2000,0.4,25,16,9969002650
2000,0.4,26,16,9944309538
2000,0.4,27,14,9990458093
2000,0.4,28,15,9960909803
2000,0.4,29,15,9887253131
2000,0.4,30,17,9947888751
2000,0.5,1,13,9939952267
2000,0.5,2,13,9936828753
2000,0.5,3,13,9892977770
2000,0.5,4,11,9997658930
2000,0.5,5,13,9939440575
2000,0.5,6,12,9897333766
2000,0.5,7,12,9918752141
2000,0.5,8,13,9721150429
2000,0.5,9,14,9978709500
2000,0.5,10,12,9799286959
2000,0.5,11,13,9955376049
2000,0.5,12,14,9831061945
2000,0.5,13,12,9891895620
2000,0.5,14,13,9809621642
2000,0.5,15,12,9743663650
2000,0.5,16,13,9835382913
2000,0.5,17,12,9778775558
2000,0.5,18,12,9871699355
2000,0.5,19,12,9988948579
2000,0.5,20,13,9965379876
2000,0.5,21,13,9963185964
2000,0.5,22,13,9991300622
2000,0.5,23,12,9941783272
2000,0.5,24,12,9985368592
2000,0.5,25,13,9938901779
2000,0.5,26,13,9914193968
2000,0.5,27,13,9981411199
2000,0.5,28,13,9957948147
2000,0.5,29,13,9798099760
2000,0.5,30,13,9968632710
2000,0.6,1,10,9784861995
2000,0.6,2,10,9941375288
2000,0.6,3,11,9908231023
2000,0.6,4,10,9963067719
2000,0.6,5,10,9892146218
2000,0.6,6,10,9996958979
2000,0.6,7,10,9799279191
2000,0.6,8,11,9826748156
2000,0.6,9,10,9875471900
2000,0.6,10,10,9781995880
2000,0.6,11,11,9907879515
2000,0.6,12,10,9928108967
2000,0.6,13,10,9965868284
2000,0.6,14,10,9948710317
2000,0.6,15,10,9976594342
2000,0.6,16,10,9850922683
2000,0.6,17,10,9990084379
2000,0.6,18,11,9837621595
2000,0.6,19,10,9990804770
2000,0.6,20,10,9864640586
2000,0.6,21,10,9984749277
2000,0.6,22,10,9908996060
2000,0.6,23,10,9973184092
2000,0.6,24,10,9714720467
2000,0.6,25,10,9987153527
2000,0.6,26,10,9977023444
2000,0.6,27,10,9914417730
2000,0.6,28,10,9968669226
2000,0.6,29,11,9700235932
2000,0.6,30,9,9811699694
2000,0.7,1,9,9501705437
2000,0.7,2,7,9781735731
2000,0.7,3,8,9959355792
2000,0.7,4,8,9923500062
2000,0.7,5,8,9890803022
2000,0.7,6,8,9936405790
2000,0.7,7,7,9868285138
2000,0.7,8,8,9894354580
2000,0.7,9,8,9846670432
2000,0.7,10,8,9761797091
2000,0.7,11,8,9696186986
2000,0.7,12,8,9987814112
2000,0.7,13,8,9857402398
2000,0.7,14,9,9888851673
2000,0.7,15,8,9953595228
2000,0.7,16,8,9987734603
2000,0.7,17,8,9855686070
2000,0.7,18,8,9980231913
2000,0.7,19,9,9770072514
2000,0.7,20,8,9790546500
2000,0.7,21,8,9946515247
2000,0.7,22,8,9908491530
2000,0.7,23,9,9870342747
2000,0.7,24,8,9935045462
2000,0.7,25,8,9927360294
2000,0.7,26,8,9645635365
2000,0.7,27,8,9937633479
2000,0.7,28,8,9859010806
2000,0.7,29,8,9837119449
2000,0.7,30,8,9967896875
2000,0.8,1,7,9944196422
2000,0.8,2,6,9937715844
2000,0.8,3,6,9987022798
2000,0.8,4,7,9841016906
2000,0.8,5,6,9958942963
2000,0.8,6,7,9958589946
2000,0.8,7,6,9923152161
2000,0.8,8,6,9950022087
2000,0.8,9,8,9786855171
2000,0.8,10,6,9956262475
2000,0.8,11,6,9927460438
2000,0.8,12,7,9774888597
2000,0.8,13,6,9835410189
2000,0.8,14,6,9996524311
2000,0.8,15,6,9939564201
2000,0.8,16,7,9926176711
2000,0.8,17,6,9910301687
2000,0.8,18,7,9837566622
2000,0.8,19,7,9990154619
2000,0.8,20,6,9884578926
2000,0.8,21,6,9999502043
2000,0.8,22,6,9793370459
2000,0.8,23,6,9857560152
2000,0.8,24,7,9923529646
2000,0.8,25,6,9871252431
2000,0.8,26,7,9962452137
2000,0.8,27,6,9844600509
2000,0.8,28,7,9803128886
2000,0.8,29,7,9868448383
2000,0.8,30,7,9827422794
2000,0.9,1,4,9897944307
2000,0.9,2,5,9952238957
2000,0.9,3,5,9710691639
2000,0.9,4,5,9851141328
2000,0.9,5,5,9929873282
2000,0.9,6,5,9925263508
2000,0.9,7,5,9945054761
2000,0.9,8,5,9772725600
2000,0.9,9,5,9972512617
2000,0.9,10,5,9677696676
2000,0.9,11,5,9842291714
2000,0.9,12,5,9804726852
2000,0.9,13,5,9622863243
2000,0.9,14,5,9946922235
2000,0.9,15,5,9817971774
2000,0.9,16,5,9831736080
2000,0.9,17,5,9961779413
2000,0.9,18,5,9673549088
2000,0.9,19,5,9685366866
2000,0.9,20,4,9744490193
2000,0.9,21,5,9951103710
2000,0.9,22,5,9655784645
2000,0.9,23,5,9899512916
2000,0.9,24,5,9933208192
2000,0.9,25,5,9988255247
2000,0.9,26,5,9874630317
2000,0.9,27,5,9873614515
2000,0.9,28,5,9794503585
2000,0.9,29,5,9978296020
2000,0.9,30,6,9799683026
3000,0.1,1,61,9805449697
3000,0.1,2,61,9941013689
3000,0.1,3,61,9830948379
3000,0.1,4,59,9963751338
3000,0.1,5,60,9861824088
3000,0.1,6,63,9925231689
3000,0.1,7,62,9897479722
3000,0.1,8,59,9913760647
3000,0.1,9,64,9898689967
3000,0.1,10,61,9964222408
3000,0.1,11,59,9768938331
3000,0.1,12,62,9810568539
3000,0.1,13,61,9988491403
3000,0.1,14,64,9929578337
3000,0.1,15,62,9825122866
3000,0.1,16,60,9930605664
3000,0.1,17,61,9975456251
3000,0.1,18,60,9784090479
3000,0.1,19,59,9918439540
3000,0.1,20,60,9938770992
3000,0.1,21,62,9765301377
3000,0.1,22,62,9977457578
3000,0.1,23,63,9894586246
3000,0.1,24,59,9807783420
3000,0.1,25,63,9960408854
3000,0.1,26,62,9869004635
3000,0.1,27,61,9795583581
3000,0.1,28,65,9982198232
3000,0.1,29,62,9935475042
3000,0.1,30,62,9871908994
3000,0.2,1,33,9903777623
3000,0.2,2,33,9917342689
3000,0.2,3,32,9696755981
3000,0.2,4,33,9983989426
3000,0.2,5,30,9845370012
3000,0.2,6,32,9767794369
3000,0.2,7,34,9977198793
3000,0.2,8,32,9976340108
3000,0.2,9,32,9832811479
3000,0.2,10,32,9975783404
3000,0.2,11,32,9794969108
3000,0.2,12,35,9978675116
3000,0.2,13,33,9968265471
3000,0.2,14,33,9802568454
3000,0.2,15,32,9801446782
3000,0.2,16,32,9667105715
3000,0.2,17,35,9872608316
3000,0.2,18,31,9834339737
3000,0.2,19,34,9799286618
3000,0.2,20,32,9984379295
3000,0.2,21,32,9973657572
3000,0.2,22,34,9616185537
3000,0.2,23,31,9903358131
3000,0.2,24,33,9808123712
3000,0.2,25,33,9784571393
3000,0.2,26,31,9906277173
3000,0.2,27,32,9871787800
3000,0.2,28,31,9850519830
3000,0.2,29,33,9732924188
3000,0.2,30,33,9812130238
3000,0.3,1,23,9734216425
3000,0.3,2,21,9817246802
3000,0.3,3,21,9719327841
3000,0.3,4,24,9774052450
3000,0.3,5,23,9916634771
3000,0.3,6,23,9957947475
3000,0.3,7,22,9815100847
3000,0.3,8,23,9902113259
3000,0.3,9,22,9997790313
3000,0.3,10,21,9926494145
3000,0.3,11,21,9585255599
3000,0.3,12,22,9931637410
3000,0.3,13,21,9891749765
3000,0.3,14,22,9839175904
3000,0.3,15,24,9889546117
3000,0.3,16,22,9784153822
3000,0.3,17,21,9833465175
3000,0.3,18,21,9825008136
3000,0.3,19,22,9937056873
3000,0.3,20,22,9785065190
3000,0.3,21,24,9667107000
3000,0.3,22,23,9641737256
3000,0.3,23,23,9824460160
3000,0.3,24,22,9698994601
3000,0.3,25,22,9883634922
3000,0.3,26,22,9991409391
3000,0.3,27,21,9656085660
3000,0.3,28,22,9932969012
3000,0.3,29,23,9789212617
3000,0.3,30,23,9958910984
3000,0.4,1,16,9850694188
3000,0.4,2,17,9339425415
3000,0.4,3,17,9625907829
3000,0.4,4,17,9796668940
3000,0.4,5,17,9677823380
3000,0.4,6,17,9783653355
3000,0.4,7,17,9884291616
3000,0.4,8,16,9636487920
3000,0.4,9,16,9619286080
3000,0.4,10,17,9979533988
3000,0.4,11,17,9817587963
3000,0.4,12,15,9916622191
3000,0.4,13,15,9517591479
3000,0.4,14,16,9580769878
3000,0.4,15,17,9945099477
3000,0.4,16,16,9676705486
3000,0.4,17,16,9695510112
3000,0.4,18,16,9825746527
3000,0.4,19,16,9514356807
3000,0.4,20,16,9780823600
3000,0.4,21,15,9693162711
3000,0.4,22,17,9853371675
3000,0.4,23,16,9924222681
3000,0.4,24,17,9955964540
3000,0.4,25,17,9566445066
3000,0.4,26,17,9884233458
3000,0.4,27,16,9922544894
3000,0.4,28,16,9945253348
3000,0.4,29,16,9919066781
3000,0.4,30,16,9530257370
3000,0.5,1,12,9812828570
3000,0.5,2,12,9976749963
3000,0.5,3,13,9747744228
3000,0.5,4,14,9978058287
3000,0.5,5,12,9786295596
3000,0.5,6,13,9779767474
3000,0.5,7,14,9863441084
3000,0.5,8,14,9567300178
3000,0.5,9,13,9932363490
3000,0.5,10,13,9961291880
3000,0.5,11,13,9825542283
