Size,Density,Number,Greedy_Value,Greedy_Time,GreedyRan_Value,GreedyRan_Time
1000,0.5,1,10, 719154,10, 1616954
1000,0.5,2,10, 710563,9, 1437635
1000,0.5,3,11, 933684,10, 1514434
1000,0.5,4,10, 682452,11, 1598164
1000,0.5,5,11, 720211,8, 1427410
1000,0.5,6,10, 656161,10, 1452914
1000,0.5,7,11, 724092,10, 1601600
1000,0.5,8,9, 646486,10, 1456528
1000,0.5,9,11, 1109216,9, 1426633
1000,0.5,10,11, 702153,12, 1694352
1000,0.5,11,10, 677563,11, 1975203
1000,0.5,12,11, 702116,9, 1372269
1000,0.5,13,12, 807584,11, 1660752
1000,0.5,14,10, 648759,10, 1504386
1000,0.5,15,11, 705979,10, 1595825
1000,0.5,16,10, 987080,10, 1510449
1000,0.5,17,11, 728906,10, 1428574
1000,0.5,18,10, 740781,9, 1427724
1000,0.5,19,10, 743414,10, 1674752
1000,0.5,20,11, 742407,11, 1724367
1000,0.5,21,10, 670845,10, 1647918
1000,0.5,22,12, 870878,12, 1722600
1000,0.5,23,11, 788702,11, 1755212
1000,0.5,24,10, 720632,11, 1790529
1000,0.5,25,11, 802097,9, 1491871
1000,0.5,26,10, 717938,11, 1631181
1000,0.5,27,11, 1017945,11, 1633173
1000,0.5,28,10, 674088,10, 1691379
1000,0.5,29,11, 1339786,10, 1583858
1000,0.5,30,11, 810813,11, 1696209
1000,0.6,1,8, 616623,7, 1197451
1000,0.6,2,9, 686896,8, 1310062
1000,0.6,3,8, 603334,8, 1300825
1000,0.6,4,7, 513875,9, 1392920
1000,0.6,5,10, 734055,9, 1444333
1000,0.6,6,10, 723807,7, 1294156
1000,0.6,7,8, 621569,8, 1771697
1000,0.6,8,9, 636407,7, 1311582
1000,0.6,9,9, 661089,8, 1524267
1000,0.6,10,8, 582396,7, 1246159
1000,0.6,11,10, 731207,7, 1210797
1000,0.6,12,10, 719756,9, 1368585
1000,0.6,13,8, 614266,7, 1210807
1000,0.6,14,9, 648538,9, 1337931
1000,0.6,15,8, 593505,9, 1348244
1000,0.6,16,9, 674966,8, 2339262
1000,0.6,17,8, 639742,8, 1256489
1000,0.6,18,8, 620566,9, 1309968
1000,0.6,19,9, 690304,8, 1271195
1000,0.6,20,9, 765685,9, 1448795
1000,0.6,21,9, 679896,9, 1390807
1000,0.6,22,8, 592880,8, 1271934
1000,0.6,23,8, 603107,7, 1286073
1000,0.6,24,8, 611357,8, 1352484
1000,0.6,25,9, 673354,8, 1377665
1000,0.6,26,8, 602128,8, 1324704
1000,0.6,27,10, 723362,8, 1317873
1000,0.6,28,9, 698104,8, 1309422
1000,0.6,29,9, 649008,7, 1347867
1000,0.6,30,7, 571689,8, 1410026
1000,0.7,1,8, 642494,7, 1186613
1000,0.7,2,6, 478272,6, 1072791
1000,0.7,3,6, 512301,8, 1196280
1000,0.7,4,7, 598795,7, 1211678
1000,0.7,5,6, 642014,6, 1119812
1000,0.7,6,6, 516511,7, 1094244
1000,0.7,7,7, 976382,6, 1036710
1000,0.7,8,7, 550121,7, 1214082
1000,0.7,9,7, 538867,7, 2031228
1000,0.7,10,7, 541984,6, 1070814
1000,0.7,11,7, 568389,7, 1128671
1000,0.7,12,6, 493204,7, 1205861
1000,0.7,13,7, 536614,7, 2279907
1000,0.7,14,6, 472626,6, 1071641
1000,0.7,15,6, 494279,6, 1064094
1000,0.7,16,7, 559978,7, 1047732
1000,0.7,17,6, 491162,6, 1031094
1000,0.7,18,7, 561248,7, 1075488
1000,0.7,19,8, 645350,6, 1040303
1000,0.7,20,7, 569534,6, 1005873
1000,0.7,21,6, 461375,6, 998566
1000,0.7,22,7, 1026895,7, 1051238
1000,0.7,23,6, 474709,6, 1041770
1000,0.7,24,7, 553367,6, 1318883
1000,0.7,25,6, 518357,6, 1026258
1000,0.7,26,6, 489095,8, 1223984
1000,0.7,27,7, 544840,7, 1157377
1000,0.7,28,7, 614410,7, 1194184
1000,0.7,29,6, 577088,7, 1282572
1000,0.7,30,7, 636753,7, 1243057
1000,0.8,1,5, 459826,5, 1067763
1000,0.8,2,5, 453062,5, 971552
1000,0.8,3,5, 437325,5, 928635
1000,0.8,4,5, 424240,7, 1173829
1000,0.8,5,5, 439026,5, 949569
1000,0.8,6,6, 538819,4, 1008214
1000,0.8,7,5, 471374,5, 959254
1000,0.8,8,5, 449334,5, 911303
1000,0.8,9,5, 425123,5, 984118
1000,0.8,10,6, 515242,5, 1029744
1000,0.8,11,5, 457693,6, 1072488
1000,0.8,12,6, 566960,5, 1025440
1000,0.8,13,5, 451381,6, 972589
1000,0.8,14,6, 531431,6, 1163251
1000,0.8,15,5, 462141,6, 1056816
1000,0.8,16,6, 532629,6, 1023586
1000,0.8,17,5, 799722,6, 1906660
1000,0.8,18,5, 1080668,5, 923839
1000,0.8,19,4, 377037,5, 967976
1000,0.8,20,5, 490120,5, 939357
1000,0.8,21,5, 493073,5, 1018810
1000,0.8,22,6, 557680,5, 928264
1000,0.8,23,4, 367514,4, 887783
1000,0.8,24,5, 447230,5, 935565
1000,0.8,25,5, 460204,5, 1074888
1000,0.8,26,6, 684798,6, 1047672
1000,0.8,27,5, 473100,5, 1026169
1000,0.8,28,6, 528866,6, 1013409
1000,0.8,29,5, 454949,6, 1058448
1000,0.8,30,6, 526607,6, 1065356
1000,0.9,1,4, 394087,4, 806894
1000,0.9,2,4, 390836,4, 810560
1000,0.9,3,4, 389762,4, 846694
1000,0.9,4,4, 405116,4, 823650
1000,0.9,5,4, 393139,4, 858062
1000,0.9,6,4, 377273,4, 845534
1000,0.9,7,4, 401537,4, 828255
1000,0.9,8,4, 412382,4, 805724
1000,0.9,9,4, 380108,4, 851715
1000,0.9,10,4, 436490,4, 838143
1000,0.9,11,5, 425988,5, 936352
1000,0.9,12,4, 357061,4, 814543
1000,0.9,13,3, 311664,4, 1337682
1000,0.9,14,4, 361929,4, 753404
1000,0.9,15,4, 367421,4, 746443
1000,0.9,16,3, 329739,4, 802410
1000,0.9,17,5, 448306,5, 874901
1000,0.9,18,4, 360148,4, 762284
1000,0.9,19,4, 520797,4, 761174
1000,0.9,20,3, 295886,3, 732014
1000,0.9,21,4, 443062,4, 881028
1000,0.9,22,4, 414309,4, 810143
1000,0.9,23,3, 341781,5, 1627109
1000,0.9,24,4, 654448,4, 767048
1000,0.9,25,4, 372027,4, 857749
1000,0.9,26,4, 365765,4, 869513
1000,0.9,27,4, 370304,4, 918752
1000,0.9,28,4, 527033,4, 866771
1000,0.9,29,4, 373562,4, 752111
1000,0.9,30,4, 364128,4, 758981
2000,0.1,1,57, 5261364,57, 18376859
2000,0.1,2,55, 5151731,55, 14204527
2000,0.1,3,55, 5352011,53, 19373275
2000,0.1,4,61, 9163829,58, 16025064
2000,0.1,5,60, 5983213,59, 15488251
